iter	Passed	Remaining
566	6702	5118
567	6720	5111
568	6741	5106
569	6756	5096
570	6780	5094
571	6825	5106
572	6834	5092
573	6844	5079
574	6852	5064
575	6861	5050
576	6869	5036
577	6877	5021
578	6885	5006
579	6893	4992
580	6901	4977
581	6909	4962
582	6918	4948
583	6929	4935
584	6937	4921
585	6944	4906
586	6952	4891
587	6960	4877
588	6968	4862
589	6977	4848
590	6985	4834
591	6993	4819
592	7001	4805
593	7009	4790
594	7017	4776
595	7026	4762
596	7034	4748
597	7042	4733
598	7049	4719
599	7057	4704
600	7065	4690
601	7073	4676
602	7081	4662
603	7089	4647
604	7097	4634
605	7105	4619
606	7114	4606
607	7122	4591
608	7130	4577
609	7138	4563
610	7146	4549
611	7153	4535
612	7161	4521
613	7169	4507
614	7178	4493
615	7187	4480
616	7195	4466
617	7203	4452
618	7211	4438
619	7219	4425
620	7228	4411
621	7236	4397
622	7244	4384
623	7252	4370
624	7261	4356
625	7268	4342
626	7277	4329
627	7284	4315
628	7294	4302
629	7301	4288
630	7310	4274
631	7318	4261
632	7325	4247
633	7333	4233
634	7341	4220
635	7350	4206
636	7358	4193
637	7366	4179
638	7374	4166
639	7382	4152
640	7390	4139
641	7398	4125
642	7406	4112
643	7414	4098
644	7423	4085
645	7434	4074
646	7443	4060
647	7450	4047
648	7458	4033
649	7466	4020
650	7478	4009
651	7488	3996
652	7498	3984
653	7509	3972
654	7523	3962
655	7533	3950
656	7541	3937
657	7550	3924
658	7558	3911
659	7566	3898
660	7579	3887
661	7587	3874
662	7596	3861
663	7604	3848
664	7612	3834
665	7626	3824
666	7636	3812
667	7643	3799
668	7651	3785
669	7659	3772
670	7670	3761
671	7682	3749
672	7690	3736
673	7698	3723
674	7706	3710
675	7716	3698
676	7729	3687
677	7738	3675
678	7747	3662
679	7759	3651
680	7781	3645
681	7796	3635
682	7809	3624
683	7831	3618
684	7846	3608
685	7857	3596
686	7876	3588
687	7888	3577
688	7899	3565
689	7912	3554
690	7932	3547
691	7943	3535
692	7955	3524
693	7977	3517
694	7988	3505
695	8000	3494
696	8013	3483
697	8029	3474
698	8042	3463
699	8053	3451
700	8069	3442
701	8085	3432
702	8096	3420
703	8108	3409
704	8127	3400
705	8140	3389
706	8151	3378
707	8173	3371
708	8184	3359
709	8191	3345
710	8200	3333
711	8210	3320
712	8223	3310
713	8233	3297
714	8244	3286
715	8259	3276
716	8276	3266
717	8290	3256
718	8303	3245
719	8320	3235
